"Edinburgh","Edinburgh Promenade",-3.291585,55.978806
"Eglinton","Eglinton Country Park",-4.669662,55.643935
"Elgin","Cooper Park",-3.313072,57.653393
"Ellenbrook Fields","University of Hertfordshire Sports Villa",-0.254277,51.761787
"Ellesmere Port","Whitby Park",-2.902542,53.272524
"Ellon","Ellon Academy Community Campus",-2.056968,57.359262
"Eltham juniors","Eltham Park South",0.068186,51.455664
"Enniskillen","Enniskillen",-7.642293,54.343834
"Erddig","Erddig Hall",-3.006833,53.027137
"Evesham juniors","Evesham",-1.958169,52.09023
"Evesham","Evesham",-1.958122,52.090191
"Exeter Riverside","Exeter Quay & River Valley Park",-3.525833,50.713762
"Exmouth","Exmouth",-3.412392,50.614697
"Falkirk","Callendar Park, Falkirk",-3.766712,55.99543
"Falls","Falls Park, Belfast",-5.978879,54.586363
"Fareham","Cams Hall Estate",-1.167385,50.848448
"Felixstowe Prom juniors","Felixstowe Prom",1.345726,51.957785
"Felixstowe","Undercliff Road West",1.345741,51.957778
"Fell Foot","Fell Foot Park",-2.952259,54.274736
"Ferry Meadows","Ferry Meadows Country Park",-0.308132,52.565563
"Finsbury Park","Finsbury Park",-0.104145,51.569595
"Fire Service College","Fire Service College",-1.675487,51.990688
"Flatts Lane","Flatts Lane Woodland Country Park",-1.151741,54.543872
"Fleetwood Promenade","Outer Promenade",-3.016919,53.927366
"Fletcher Moss","Fletcher Moss Park",-2.23551,53.40999
"Florence Park juniors","Florence Park",-1.223801,51.737483
"Folkestone","The Leas",1.172753,51.075729
"Foots Cray Meadows","Foots Cray Meadows",0.133269,51.432103
"Ford","Ford Park",-3.088135,54.198427
"Forest Rec juniors","Forest Recreation Ground",-1.160495,52.965238
"Forest Rec","Forest Recreation Gound, Nottingham",-1.159766,52.965352
"Forest of Dean juniors","Coverham Enclosure, Forest of Dean",-2.605219,51.808701
"Forest of Dean","Coverham Enclosure, Forest of Dean",-2.605219,51.808701
"Fort William","Nevis Range",-4.999161,56.851484
"Fountains Abbey","Fountains Abbey",-1.581983,54.110196
"Friary Park juniors","Friary Park",-0.162187,51.619706
"Frickley Country","Frickley Country Park",-1.290457,53.588573
"Frimley Lodge","Frimley Lodge Park",-0.724851,51.298622
"Fulbourn Hospital","Fulbourn Hospital",0.186094,52.184131
"Fulham Palace","Bishops Park",-0.218493,51.472465
"GEC Rec juniors","GEC Recreational Ground",-1.239956,52.365561
"Gadebridge","Gadebridge Park",-0.473542,51.758909
"Gainsborough","West Lindsey Leisure Centre",-0.770777,53.406272
"Ganavan Sands","Ganavan",-5.469021,56.437766
"Gateshead"," Saltwell Park, Gateshead",-1.602094,54.944733
"Gedling juniors","Gedling Country Park",-1.087241,52.99389
"Gedling","Gedling Country Park",-1.087124,52.993919
"Gibside","Gibside",-1.731248,54.920406
"Girvan Prom","Knockcushan Street",-4.862538,55.243994
"Gladstone","Gladstone Park, London",-0.228223,51.556982
"Glossop","Manor Park",-1.939503,53.447019
